label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Beethoven - Missa Solemnis 1993-04-23	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	Missa Solemnis	"Eschenbach, Christoph"	True	3	3	86	3	83	1990	4/23/1993	1993-04-23	23/25/26-Apr	1993	"Renee Fleming (s), Janis Taylor (ms), Neil Rosenshein (t), George Hogan (b)"		Houston	Classical	"Hausmann, Charles"	92-93	HSO	*****
Gershwin - Porgy & Bess 1993-05-28	Gershwin	George    	"Gershwin, George"	Porgy & Bess	"Wayland, Newton"	True	3	3	89	3	86	1990	5/28/1993	1993-05-28	28/29/30-May	1993	"Priscilla Baskerville (s), Donnie Ray Albert (bar), Scott Holshouser (piano)"	"Sang ""A Woman is a Sometime Thing; Gone, Gone, Gone; The Promise Lan, Oh. I Cant Sit Down; Oh Lawd, Im, On My Way"""	Houston	Opera	"Hausmann, Charles"	92-93	HSO	***
Britten - War Requiem 1993-11-13	Britten	Benjamin    	"Britten, Benjamin"	War Requiem	"Shaw, Robert"	True	3	3	92	3	89	1990	11/13/1993	1993-11-13	13/14/15-Nov	1993	"Lorna Haywood (s), Stanford Olsen (t), David Wilson-Johnson (b)"	With Fort Bend Boys Choir (William R. Adams dir).	Houston	Classical	"Hausmann, Charles"	93-94	HSO	*****
Various - Christmas Pops 1993-12-03	Various	    	Various	Christmas Pops	"Stein, Stephen"	True	6	5	97	5	94	1990	12/3/1993	1993-12-03	3/4/5/5/6/9-Dec	1993		09-Dec was Conoco Christmas Party.  6 performances include one at high school.	Houston	Pops	"Hausmann, Charles"	93-94	HSO	
Various - Christmas Pops 1993-12-06	Various		Various	Christmas Pops	"Stein, Stephen"	True	1	1	98	1	95	1990	12/6/1993	1993-12-06	6 Dec	1993		In Bay Area at Clear Brook High School	Houston Metropolitan Area	Pops	"Hausmann, Charles"	93-94	HSO	**
Handel - Messiah 1993-12-17	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Seaman, Christopher"	True	4	4	102	4	99	1990	12/17/1993	1993-12-17	17/18/19/19-Dec	1993	"Dana Hanchard (s), Christine Cairns (ms), Jamie MacDougall (t), William Stone (bar)"	2nd Dec 19 concert at 1st Methodist Church	Houston	Classical	"Hausmann, Charles"	93-94	HSO	*****
Haydn - The Seasons 1994-02-05	Haydn	Franz Joseph   	"Haydn, Franz Joseph"	The Seasons	"McGegan, Nicholas"	True	3	3	105	3	102	1990	2/5/1994	1994-02-05	5/6/7-Feb	1994	"Dominique Labelle (s), Jeffrey Thomas (t), Nathaniel Watson (b)"		Houston	Classical	"Hausmann, Charles"	93-94	HSO	*****
"Mahler - Symphony #8, ""Symphony of a Thousand"" 1994-05-21"	Mahler	Gustav    	"Mahler, Gustav"	"Symphony #8, ""Symphony of a Thousand"""	"Eschenbach, Christoph"	True	3	3	108	3	105	1990	5/21/1994	1994-05-21	21/22/23-May	1994	"Shinobu Satoh (s), Marvis Martin (s), Heidi Grant Murphy (s), Janis Taylor (ms), Lucille Beer (ms), Vinson Cole (t), Hector Jorge Guedos (b), Eric Halfvarson (b)"	With the Dallas Symphony Chorus (David R Davidson dir); the Fort Bend Boys Choir (William R. Adams dir); and the Houston Boychoir (David Czervinske dir).	Houston	Classical	"Hausmann, Charles"	93-94	HSO	****
Beethoven - Mass in C Major 1994-07-17	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	Mass in C Major	"Gayler, Wolfgang"	True	1	1	109	0	105	1990	7/17/1994	1994-07-17	17-Jul	1994	"Susanne Geb (s), Johanna Lender (a), Edmund Steinberger (t), Michael Lion (bar)"	"Nuremberg, Germany, Nuremberg Symphony Orchestra, in Serenadenhof."	Europe	Classical	"Hausmann, Charles"	93-94	Independent	*****
Bernstein - Chichester Psalms 1994-07-20	Bernstein	Leonard    	"Bernstein, Leonard"	Chichester Psalms	"Hausmann, Charles"	True	1	0	111	0	105	1990	7/20/1994	1994-07-20	20-Jul	1994	"Eduardo Casas (cten), Elizabeth Wiles (s)(HSC), Marilyn Dyess (a)(HSC), Doug Crowe (t)(HSC), Randy Wagner (b)(HSC)"	"In Stefaniensaal, Graz, Austria, with Graz Festival Orchestra"	Europe	Classical	"Hausmann, Charles"	93-94	Independent	*****
Beethoven - Mass in C Major 1994-07-20	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	Mass in C Major	"Eberhardt, Cornelius"	True	2	2	111	0	105	1990	7/20/1994	1994-07-20	20/22-Jul	1994	"Kerri Burkhardt (s), Evelyn Jeanne Wyse (ms), Georges Nolen (t), David Darling (b)"	"In Stefaniensaal, Graz, Austria and Monastery of St Lambrecht, Austria, with Graz Festival Orchestra"	Europe	Classical	"Hausmann, Charles"	93-94	Independent	
Bach - St. John Passion 1994-10-29	Bach	Johann Sebastian   	"Bach, Johann Sebastian"	St. John Passion	"Schreier, Peter"	True	3	3	114	3	108	1990	10/29/1994	1994-10-29	29/30/31-Oct	1994	"Schrier, Peter (t)(Evangelist), Robert Holl (bbar)(Jesus), Ellen van Lier (s), Monica Groop (ms), Jorma Silvasti (t)(Tenor Arias), Andreas Scheibner (b)(Bass Arias & Pilate). Also HSC members Beth Casey (s)(Maid), Grant Bue (t)(Servant), James Wilhite (bar)(Peter)"		Houston	Classical	"Hausmann, Charles"	94-95	HSO	*****
Various - Christmas Pops 1994-12-09	Various	    	Various	Christmas Pops	"Miller, Mitch"	True	4	4	118	4	112	1990	12/9/1994	1994-12-09	9/10/11/11-Dec	1994		"Deck the Halls, Kay; Hallelujah Chorus from Messiah, Handel; Fantasia on Greensleeves, Vaughan Williams; March of the Little Lead Soldiers, Pierne; Jesu Joy of Mans Desiring, J.S.Bach; The Wizard of Oz Selections, Arlen-Harburg; Fum, fum, fum. Carol of the Drums, Carol of the Bells, Various; Jingle Bells, Anderson. 14-Dec was Conoco Christmas Party"	Houston	Pops	"Hausmann, Charles"	94-95	HSO	**
Handel - Messiah 1994-12-16	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Bernardi, Mario"	True	4	4	122	4	116	1990	12/16/1994	1994-12-16	16/17/18/18-Dec	1994	"Dominique Labelle (s), Nancy Maultsby (ms), Douglas Johnson (t), Lawrence Craig (b)"	2nd Dec 18 concert at 1st Methodist	Houston	Classical	"Hausmann, Charles"	94-95	HSO	****
Hindemith - When Lilacs Last in the Dooryard Bloomd 1995-03-25	Hindemith	Paul    	"Hindemith, Paul"	When Lilacs Last in the Dooryard Bloomd	"Stein, Stephen"	True	3	3	125	3	119	1990	3/25/1995	1995-03-25	25/26/27-Mar	1995	"Marietta Simpson (ms), Victor Ledbetter (b)"	Robert Shaw withdrew due to illness	Houston	Classical	"Hausmann, Charles"	94-95	HSO	***
Various - Gospel Music (UNCF Benefit) 1995-03-31	Various	    	Various	Gospel Music (UNCF Benefit)	"Jackson, Isaiah"	False	0	0	125	0	119	1990	3/31/1995	1995-03-31	31-Mar	1995	"Yolanda Adams (s), Alvin Parris III (piano & Trombone)"	"United Negro College Fund Benefit Concert. Singers included Brentwood Baptist Church Choirs (Betty Hollins, Min Mus); Wheeler Avenue Baptist Church Choirs (Juanita Nash, dir); and Windsor Village United Methodist Church Choir (Kathy Taylor-Brown, dir) as well as HSC.The second half of the concert was choral."	Houston	Pops	"Hausmann, Charles"	94-95	HSO	
"Beethoven - Symphony #9, ""Choral"" 1995-05-19"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	3	3	128	3	122	1990	5/19/1995	1995-05-19	19/20/21-May	1995	"Rochelle Ellis (s), Bonita Hyman (ms), John Keyes (t), Richard Paul Fink (bar)"		Houston	Classical	"Hausmann, Charles"	94-95	HSO	***
Poulenc - Gloria in G Major 1995-05-19	Poulenc	Francis    	"Poulenc, Francis"	Gloria in G Major	"Eschenbach, Christoph"	True	3	0	128	0	122	1990	5/19/1995	1995-05-19	19/20/21-May	1995	Beverly Hoch (s)		Houston	Classical	"Hausmann, Charles"	94-95	HSO	***
Orff - Carmina Burana 1995-11-18	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Macal, Zdenek"	True	3	3	131	3	125	1990	11/18/1995	1995-11-18	18/19/20-Nov	1995	"Beverly Hoch (s), John Daniecki (t), Kevin McMillan (b),"	with Ft. Bend Boys Choir (William R. Adams dir)	Houston	Classical	"Hausmann, Charles"	95-96	HSO	****
Various - Christmas Pops 1995-12-08	Various	    	Various	Christmas Pops	"Stein, Stephen"	True	4	4	135	4	129	1990	12/8/1995	1995-12-08	8/9/10/10-Dec	1995		"Fantasia on Greensleeves, Vaughan Williams;The Holly and the Ivy, Rutter; Hallelujah from Messiah, Handel; The Twelve Days of Christmas, Rutter; Silent Night Gruber; Joy To The World, Handel; Carol of the Bells, Morden; Christmas Memories, Chase; We Wish You a Merry Christmas, Harris. 15-Dec was Conoco Party"	Houston	Pops	"Hausmann, Charles"	95-96	HSO	**
Holst - Chrstmas Day 1995-12-08	Holst	Gustav    	"Holst, Gustav"	Chrstmas Day	"Stein, Stephen"	True	4	0	135	0	129	1990	12/8/1995	1995-12-08	8/9/10/10-Dec	1995		Part of 1995 Christmas Pops. 15-Dec was Conoco Party	Houston	Classical	"Hausmann, Charles"	95-96	HSO	
Handel - Messiah 1995-12-16	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Paul, James"	True	4	4	139	4	133	1990	12/16/1995	1995-12-16	16/17/17/18-Dec	1995	"Ollie Watts Davis (s), Claudine Carlson (ms), David Gordon (t), Mark S. Doss (b)"	2nd Dec 17 concert at 1st Methodist	Houston	Classical	"Hausmann, Charles"	95-96	HSO	***
Prokofiev - Alexander Nevsky 1996-02-17	Prokofiev	Sergei    	"Prokofiev, Sergei"	Alexander Nevsky	"Paul, James"	True	3	3	142	3	136	1990	2/17/1996	1996-02-17	17/18/19-Feb	1996	Florence Quivar (ms)	"James Paul replaced Alexander Fedosseyev, who cancelled."	Houston	Classical	"Hausmann, Charles"	95-96	HSO	****
Berlioz - Damnation of Faust 1996-05-17	Berlioz	Hector    	"Berlioz, Hector"	Damnation of Faust	"Eschenbach, Christoph"	True	3	3	145	3	139	1990	5/17/1996	1996-05-17	17/19/20-May	1996	"Denyce Graves (ms), Vinson Cole (t), Richard Paul Fink (b), Kelly Anderson (b),"	"With Ft. Bend Boys Choir (William R. Adams dir) and Houston Boychoir (David Czervinske dir, Carole Nelson Interim Artistic Dir)."	Houston	Classical	"Hausmann, Charles"	95-96	HSO	****
Borodin - Polovtsian Dances 1996-08-31	Borodin	Alexander    	"Borodin, Alexander"	Polovtsian Dances	"Velazco, Jorge"	True	2	0	147	0	139	1990	8/31/1996	1996-08-31	31-Aug/1 Sep	1996		"In Sala Nezcoahuatle, with the Orquesta Sinf¢nica de Miner°a in Mexico City"	Houston	Classical	"Hausmann, Charles"	95-96	Independent	**
Orff - Carmina Burana 1996-08-31	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Velazco, Jorge"	True	2	2	147	0	139	1990	8/31/1996	1996-08-31	31-Aug/1 Sep	1996	"Jane Becker (s), Eduardo Lopez de Casas (c-t), Chris Owens (b), Coro Infantil de Fort Bend (William Adams)(dir)"	"In Sala Nezcoahuatle, with the Orquesta Sinf¢nica de Miner°a in Mexico City"	Mexico	Classical	"Hausmann, Charles"	95-96	Independent	***
Ravel - Daphnis and ChloÇ 1996-09-28	Ravel	Maurice    	"Ravel, Maurice"	Daphnis and ChloÇ	"Eschenbach, Christoph"	True	3	3	150	3	142	1990	9/28/1996	1996-09-28	28/29/30-Sep	1996		Full ballet score (includes both Suites #1 and #2)	Houston	Classical	"Hausmann, Charles"	96-97	HSO	****
Mozart - Ave Verum Corpus 1996-11-09	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	Ave Verum Corpus	"Honeck, Manfred"	True	3	0	153	0	145	1990	11/9/1996	1996-11-09	9/10/11-Nov	1996		"Followed Mozart Requiem, sung up to the point where Mozart put down his pen."	Houston	Classical	"Hausmann, Charles"	96-97	HSO	*****
Mozart - Requiem 1996-11-09	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	Requiem	"Honeck, Manfred"	True	3	3	153	3	145	1990	11/9/1996	1996-11-09	9/10/11-Nov	1996	"Heidi Grant Murphy (s), Marietta Simpson (ms), Richard Clement (t), John Cheek (b)"	"Plainsong chant between movements. Sang only the music Mozart wrote himself, followed by Mozarts Ave Verum Corpus. Very moving."	Houston	Classical	"Hausmann, Charles"	96-97	HSO	*****
Various - Christmas Pops 1996-12-12	Various	    	Various	Christmas Pops	"Stein, Stephen"	True	4	4	157	4	149	1990	12/12/1996	1996-12-12	12/14/15/15-Dec	1996		"The Many Moods of Christmas, Shaw; Hallelujah from Messiah, Handel; God Rest Ye Merry Gentelemen, Bartsch; O Tannenbaum, Bartsch; Rudolph the Red-Nosed Reindeer, Bartsch; Here Comes Santa. With Houston Festival Ringers, Andrew Bowen dir. 12-Dec was Conoco Christmas Party"	Houston	Pops	"Hausmann, Charles"	96-97	HSO	**
Handel - Messiah 1996-12-20	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Bolton, Ivor"	True	4	4	161	4	153	1990	12/20/1996	1996-12-20	20/21/22/22-Dec	1996	"Ann Monoyios (s), Linda Maguire (ms), Glenn Siebert (t), Thomas Barrett (b)"	2nd Dec 22 concert at 1st Methodist	Houston	Classical	"Hausmann, Charles"	96-97	HSO	****
"Beethoven - Symphony #9, ""Choral"" 1997-02-15"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	1	1	162	1	154	1990	2/15/1997	1997-02-15	15-Feb	1997	"Marvis Martin (s), Marietta Simpson (ms), Stuart Neil (t), Andreas Scheibner (bbar)"	Gala Concert. Stuart Neil replaced Gordon Gietz. 	Houston	Classical	"Hausmann, Charles"	96-97	HSO	***
Schubert - Mass #5 1997-03-22	Schubert	Franz    	"Schubert, Franz"	Mass #5	"Delfs, Andreas"	True	3	3	165	3	157	1990	3/22/1997	1997-03-22	22/23/24-Mar	1997	"Dominique Labelle (s), Janis Taylor (ms), Stanford Olsen (t), Kevin McMillan (bar)"		Houston	Classical	"Hausmann, Charles"	96-97	HSO	****
Various - Memorial Service 1997-03-26	Various		Various	Memorial Service	"Wehr, David"	False	0	0	165	0	157	1990	3/26/1997	1997-03-26	26-Mar	1997		"Memorial Service for Virginia Babikian, long term soloist, coach, then Director of the Houston Symphony Chorale, and HBU, then Rice Professor, who died March 22 1997. Service in Stude Concert Hall, The Shepherd School of Music, Rice University. HSC and other friends sang four anthems."	Houston	Memorial	"Hausmann, Charles"	96-97	Independent	
Brahms - German Requiem 1997-05-24	Brahms	Johannes    	"Brahms, Johannes"	German Requiem	"Eschenbach, Christoph"	False	0	0	165	0	157	1990	5/24/1997	1997-05-24	24/25/26-May	1997	"Shinobu Satoh (s), Dmitri Hvorostovsky (bar)"	"In Memory of Virginia Babikian, HSC Director 1979-86"	Houston	Classical	"Hausmann, Charles"	96-97	HSO	
Verdi - Requiem 1997-08-30	Verdi	Giuseppe    	"Verdi, Giuseppe"	Requiem	"Velazco, Jorge"	True	2	2	167	0	157	1990	8/30/1997	1997-08-30	30/31-Aug	1997	"Leona Mitchell (s), Katherine Ciesinski (ms), Francisco Ariaza (t), Giorgio Surjan (b)"	In Sala Nezahualcoytl with the Orquesta Sinf¢nica de Miner°a in Mexico City. Ciesinski was last-minute replacement for Fiorenza Cossotto.	Mexico	Classical	"Hausmann, Charles"	96-97	Independent	**
"Mahler - Symphony #2, ""Resurrection"" 1997-09-13"	Mahler	Gustav    	"Mahler, Gustav"	"Symphony #2, ""Resurrection"""	"Eschenbach, Christoph"	True	3	3	170	3	160	1990	9/13/1997	1997-09-13	13/14/15-Sep	1997	"Ying Huang (s), Florence Quivar (ms),"		Houston	Classical	"Hausmann, Charles"	97-98	HSO	**
Verdi - Requiem 1997-09-27	Verdi	Giuseppe    	"Verdi, Giuseppe"	Requiem	"Shaw, Robert"	True	1	1	171	0	160	1990	9/27/1997	1997-09-27	27-Sep	1997	"Stella Zambalis (s), Diane Elias (ms), Karl Dent (t), Richard Paul Fink (b)"	"Concert in Moores Opera House of Rebecca and John J. Moores School of Music, in its dedication week. HSC joined the Moores School Chorale and the University Chorus. Also singers from Alvin Community College, San Jacinto North, & College of the Mainland."	University	Classical	"Hausmann, Charles"	97-98	Independent	****
Mendelssohn - Die erste Walpurgisnacht 1997-11-08	Mendelssohn	Felix    	"Mendelssohn, Felix"	Die erste Walpurgisnacht	"Rilling, Helmuth"	True	3	3	174	3	163	1990	11/8/1997	1997-11-08	8/9/10-Nov	1997	"Milagro Vargas (ms), James Taylor (t), Robert W. Overman (bar)"	Overman replaced Stephen West	Houston	Classical	"Hausmann, Charles"	97-98	HSO	**
Various - Christmas Pops 1997-12-11	Various	    	Various	Christmas Pops	"Stein, Stephen"	False	0	0	174	0	163	1990	12/11/1997	1997-12-11	11/12/13/14/14-Dec	1997	Amy Burton (s)(narr)	"Wachet auf ruft uns die Stimme, Bach; Ave Marie, Bach/Gounod; Allelluia from Exsultate jubilate, Mozart; O Holy Night, Adam; A Hyw Werke Has Come on Hone, Nelson;The Joy of Children+, Mecham; Magnificat anima mea from Magnificat, Rutter; Hallelujah from Messiah, Handel; The Night Before Christmas, Bass; The Twelve Days of Christmas, Rutter. Dec 12 concert was Conoco Christmas Party"	Houston	Pops	"Hausmann, Charles"	97-98	HSO	
Handel - Messiah 1997-12-19	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Seaman, Christopher"	True	4	4	178	4	167	1990	12/19/1997	1997-12-19	19/20/21/21-Dec	1997	"Beverly Hoch (s), Nancy Maultsby (ms), Karl Dent (t), Jan Opalach (bbar)"	2nd Dec 21 concert at 1st Methodist Church	Houston	Classical	"Hausmann, Charles"	97-98	HSO	***
Shoenberg - Gurrelieder 1998-05-16	Shoenberg	Arnold    	"Shoenberg, Arnold"	Gurrelieder	"Eschenbach, Christoph"	True	2	2	180	2	169	1990	5/16/1998	1998-05-16	16/18-May	1998	"Marina Shaguch (s), Michelle DeYoung (ms), Jon Frederic West (t), Jon Kolbet (t), Alan Held (b), Ernst Haefliger(narr)"	With Gay Mens Chorus of Houston. Tenor Jon Frederic West replaced Chris Merrit.	Houston	Classical	"Hausmann, Charles"	97-98	HSO	**
"Beethoven - Symphony #9, ""Choral"" 1998-05-22"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	4	4	184	4	173	1990	5/22/1998	1998-05-22	22/23/24/25-May	1998	"Sheri Greenawald (s), Annamaria Popescu (ms), Vinson Cole (t), Peter Rose (b)"		Houston	Classical	"Hausmann, Charles"	97-98	HSO	***
"Mozart - Mass in C Minor, ""The Great"" 1998-06-03"	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	"Mass in C Minor, ""The Great"""	"Hausmann, Charles"	True	1	1	185	0	173	1990	6/3/1998	1998-06-03	3-Jun	1998	"Mary Carmen Hines (s), Dawn Uebelhart (s), Kirby Traylor (t), Richard Haselip (b)"	"At Moores Opera House, U of H -- In Memory of Margaret Hillis"	University	Classical	"Hausmann, Charles"	97-98	Independent	***
FaurÇ - Requiem 1998-10-10	FaurÇ	Gabriel    	"FaurÇ, Gabriel"	Requiem	"Eschenbach, Christoph"	True	3	3	188	3	176	1990	10/10/1998	1998-10-10	10/11/12-Oct	1998	"Dominique Labelle (s), Francois Le Roux (b)"		Houston	Classical	"Hausmann, Charles"	98-99	HSO	*****
Stravinsky - Symphony of Psalms 1998-10-10	Stravinsky	Igor    	"Stravinsky, Igor"	Symphony of Psalms	"Eschenbach, Christoph"	True	3	0	188	0	176	1990	10/10/1998	1998-10-10	10/11/12-Oct	1998			Houston	Classical	"Hausmann, Charles"	98-99	HSO	***
Stravinsky - Choral Variations on Vom Himmel Hoch 1998-10-10	Stravinsky	Igor    	"Stravinsky, Igor"	Choral Variations on Vom Himmel Hoch	"Eschenbach, Christoph"	True	3	0	188	0	176	1990	10/10/1998	1998-10-10	10/11/12-Oct	1998			Houston	Classical	"Hausmann, Charles"	98-99	HSO	**
Various - Christmas Pops 1998-12-10	Various	    	Various	Christmas Pops	"Sidlin, Murry"	True	5	5	193	5	181	1990	12/10/1998	1998-12-10	10/11/12/13/13-Dec	1998		"The Joy of Bells, Mechem; Christmas Cantata, Pinkham; Hallelujah Chorus, Handel; Variations on an Advent Hymn, Tull; Sleigh Ride, Anderson; We Wish you a Merry Christmas, Harris. 2nd concert was Conoco Christmas Party"	Houston	Pops	"Hausmann, Charles"	98-99	HSO	**
Handel - Messiah 1998-12-18	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Bicket, Harry"	True	4	4	197	4	185	1990	12/18/1998	1998-12-18	18/19/20/20-Dec	1998	"Kendra Colton (s), Jennifer Dudley (ms), John McVeigh (t), Eduardo Chama (bbar)"	2nd Dec 20 concert at 1st Methodist Church	Houston	Classical	"Hausmann, Charles"	98-99	HSO	****
Berlioz - Requiem 1999-03-06	Berlioz	Hector    	"Berlioz, Hector"	Requiem	"Lankester, Michael"	True	2	2	199	0	185	1990	3/6/1999	1999-03-06	6/7-Mar	1999	Randolph Lacy (t)(performing from the catwalk)	"At Moores Opera House, U of H -- In Memory of Robert Shaw (Lankester replaced Robert Shaw who died 15-Jan-1999) Includes Moores School Chorales, The University Chorus, The Moores School Symphony Orchestra"	University	Classical	"Hausmann, Charles"	98-99	Independent	***
Adams - Harmonium 1999-03-27	Adams	John	"Adams, John"	Harmonium	"Wolff, Hugh"	True	3	3	202	3	188	1990	3/27/1999	1999-03-27	27/28/29-Mar	1999			Houston	Classical	"Hausmann, Charles"	98-99	HSO	*
Mozart - Ave Verum Corpus 1999-03-27	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	Ave Verum Corpus	"Hausmann, Charles"	True	3	0	202	0	188	1990	3/27/1999	1999-03-27	27/28/29-Mar	1999		"In memory of Robert Shaw, who died 25-Jan-1999"	Houston	Classical	"Hausmann, Charles"	98-99	HSO	***
Mahler - Symphony #3 1999-05-28	Mahler	Gustav    	"Mahler, Gustav"	Symphony #3	"Eschenbach, Christoph"	False	0	0	202	0	188	1990	5/28/1999	1999-05-28	28/29/30-May	1999	Jill Grove (ms)	Women of HSC. With the Ft. Bend Boys Choir (William R. Adams dir) and Houston Boychoir (Michael Lysinger dir)	Houston	Classical	"Hausmann, Charles"	98-99	HSO	****
"Beethoven - Symphony #9, ""Choral"" 1999-05-31"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	1	1	203	1	189	1990	5/31/1999	1999-05-31	31-May	1999	"Patricia Racette (s), Jill Grove (ms), Gordon Gietz (t), John Relyea (b)"		Houston	Classical	"Hausmann, Charles"	98-99	HSO	****
Various - A Century of Song (Pops) 1999-10-15	Various		Various	A Century of Song (Pops)	"Hangen, Bruce"	False	0	0	203	0	189	1990	10/15/1999	1999-10-15	15/16/17-Oct	1999	"Katherine Terrell (s), Daniel Narducci (bar)"		Houston	Pops	"Hausmann, Charles"	99-00	HSO	
Bach - Mass in B Minor 1999-11-06	Bach	Johann Sebastian   	"Bach, Johann Sebastian"	Mass in B Minor	"Schreier, Peter"	True	3	3	206	3	192	1990	11/6/1999	1999-11-06	6/7/8-Nov	1999	"Ann Monoyios (s), Susan Platts (ms), Marcus Ullmann (t), Jorg Hempel (b)"		Houston	Classical	"Hausmann, Charles"	99-00	HSO	****
Various - Memorial Service 1999-11-27	Various		Various	Memorial Service	"Kinder, Becky (organist)"	True	1	0	206	0	192	1990	11/27/1999	1999-11-27	27-Nov	1999	"Becky Kinder (organist and soloist), Mary Gahr (HSC) (s), Vicky Westbrook (s)."	"Memorial Service for Lee Stevens, 39 service-year veteran of HSC, former President and manager, who died Nov 25 1999. Held at Holy Trinity Methodist Church. Choir included HSC and several other choral organizations with which Lee Stevens was affiliated."	Houston	Memorial	"Hausmann, Charles"	99-00	Independent	
Various - Christmas Pops 1999-12-09	Various	    	Various	Christmas Pops	"Topilow, Carl"	True	5	5	211	5	197	1990	12/9/1999	1999-12-09	9/10/11/12/12-Dec	1999	Carl Topilow (clarinet)	Dec 10 concert was Conoco Christmas Party	Houston	Pops	"Hausmann, Charles"	99-00	HSO	**
Handel - Messiah 1999-12-17	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Wikman, Thomas"	True	4	4	215	4	201	1990	12/17/1999	1999-12-17	17/18/19/19-Dec	1999	"Tamara Matthews (s), Christina Wilcox (ms), Bruce Fowler (t), Peter Van De Graaff (bbar)"	2nd Dec 19 concert at 1st Methodist Church	Houston	Classical	"Hausmann, Charles"	99-00	HSO	*
Brahms - German Requiem 2000-03-04	Brahms	Johannes    	"Brahms, Johannes"	German Requiem	"Rutter, John"	False	0	0	215	0	201	2000	3/4/2000	2000-03-04	4/5-Mar	2000	"Jan Grissom (s), Frank Hernandez (b)"	"At Moores Opera House, with Moores School Symphony Orchestra, Concert Chorale, Concert Womens Chorus, University Mens Chorus"	University	Classical	"Hausmann, Charles"	99-00	Independent	
Orff - Carmina Burana 2000-03-17	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Graf, Hans"	True	4	4	219	4	205	2000	3/17/2000	2000-03-17	17/18/19/20-Mar	2000	"Christine Brandes (s), Noel Espiritu Velasco (t), Stephen Powell (bar)"	"With Fort Bend Boys Choir (William R. Adams, Artistic Director)"	Houston	Classical	"Hausmann, Charles"	99-00	HSO	***
Verdi - Requiem 2000-05-20	Verdi	Giuseppe    	"Verdi, Giuseppe"	Requiem	"Abbado, Roberto"	True	3	3	222	3	208	2000	5/20/2000	2000-05-20	20/21/22-May	2000	"Andrea Gruber (s), Florence Quivar (ms), Vinson Cole (t), Julian Konstantinov (b)"		Houston	Classical	"Hausmann, Charles"	99-00	HSO	****
Thompson - Alleluia 2000-07-11	Thompson	Randall    	"Thompson, Randall"	Alleluia	"Hausmann, Charles"	True	2	0	224	0	208	2000	7/11/2000	2000-07-11	11/12-Jul	2000		"Jul 11 in Birminghams Symphony Hall, and Jul 12 in Malvern Priory."	Europe	General	"Hausmann, Charles"	99-00	Independent	***
Orff - Carmina Burana 2000-07-11	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Hausmann, Charles"	True	2	2	224	0	208	2000	7/11/2000	2000-07-11	11/12-Jul	2000	"Nicole Tibbels (s), Eduardo Lopez de Casas (counter-tenor), Ashley Holland (bar)"	"Jul 11th in Birminghams Symphony Hall, with English Symphony Orchestra; Jul 12th in Great Malvern Priory with selected orchestra members and two pianos, both with Fort Bend Boys Choir (William R. Adams, Artistic Director)"	Europe	Classical	"Hausmann, Charles"	99-00	Independent	***
Bernstein - The Lark 2000-07-11	Bernstein	Leonard    	"Bernstein, Leonard"	The Lark	"Hausmann, Charles"	True	1	0	224	0	208	2000	7/11/2000	2000-07-11	11/12-Jul	2000	Eduardo Lopez de Casas (cten)	"Jul 11 in Birminghams Symphony Hall, and Jul 12 in Great Malvern Priory"	Europe	Classical	"Hausmann, Charles"	99-00	Independent	***
